StateAbbr,Geolocation,LocationName,Year,Cholesterol screening among adults,High blood pressure among adults,High cholesterol among adults who have ever been screened,Taking medicine to control high blood pressure among adults with high blood pressure
AR,POINT (-91.9133749044468 36.0947862703415),Izard,2021,82.1,40.95,37.15,71.2
AR,POINT (-91.2146324874827 35.5993609746175),Jackson,2021,80.4,42.599999999999994,35.75,70.55
AR,POINT (-91.9306504433258 34.2684876070299),Jefferson,2021,81.65,47.25,35.05,73.55
AR,POINT (-93.4598912643847 35.5697554205716),Johnson,2021,79.4,38.150000000000006,35.2,71.1
AR,POINT (-93.6074236583095 33.241415618939),Lafayette,2021,81.25,47.2,37.45,74.15
AR,POINT (-91.1072092066806 36.041205068049),Lawrence,2021,80.69999999999999,38.55,34.75,70.6
AR,POINT (-90.780565570189 34.7806712575882),Lee,2021,80.15,48.8,36.35,73.1
AR,POINT (-91.7344327594591 33.9569870088292),Lincoln,2021,79.25,41.150000000000006,33.9,69.1
AR,POINT (-94.2341214453394 33.7020296690166),Little River,2021,83.85,39.349999999999994,35.7,71.8
AR,POINT (-93.7171626255792 35.2148866321463),Logan,2021,82.3,39.75,35.599999999999994,71.15
AR,POINT (-91.8886806209445 34.7543403081242),Lonoke,2021,84.0,36.6,33.900000000000006,68.85
AR,POINT (-93.7242584115005 36.0113363272212),Madison,2021,80.6,39.0,36.2,70.2
AR,POINT (-92.6845075082366 36.2686505271229),Marion,2021,83.6,40.85,37.849999999999994,72.15
AR,POINT (-93.8924281761086 33.3123156126392),Miller,2021,81.80000000000001,40.599999999999994,34.7,71.8
AR,POINT (-90.0522615520211 35.7624152398424),Mississippi,2021,80.5,41.75,35.0,71.94999999999999
AR,POINT (-91.2039164853539 34.6778463256655),Monroe,2021,83.45,46.4,37.5,74.05000000000001
AR,POINT (-93.6594929570876 34.5391664075576),Montgomery,2021,83.0,42.599999999999994,37.9,72.5
AR,POINT (-93.3071170868575 33.6633038300917),Nevada,2021,83.25,43.9,35.85,72.35
AR,POINT (-93.2175629791081 35.9200960625867),Newton,2021,83.2,40.2,36.6,71.2
AR,POINT (-92.882040791321 33.593253927504),Ouachita,2021,83.69999999999999,43.5,33.5,73.8
AR,POINT (-92.9308792596259 34.9473919842415),Perry,2021,84.2,38.8,35.4,70.75
AR,POINT (-90.8486929377124 34.4276555514265),Phillips,2021,81.65,48.349999999999994,36.05,75.45
AR,POINT (-93.6567760728936 34.1639175444477),Pike,2021,82.7,38.95,35.95,70.55
AR,POINT (-90.6631053050275 35.5740758449201),Poinsett,2021,80.1,41.15,36.45,70.94999999999999
AR,POINT (-94.2282210393227 34.4858592435429),Polk,2021,82.25,38.45,36.5,72.05
AR,POINT (-93.034485700416 35.4480772563332),Pope,2021,82.5,37.8,35.55,68.95
AR,POINT (-91.5527724228457 34.8296805541547),Prairie,2021,82.94999999999999,39.75,36.0,71.2
AR,POINT (-92.3119548341849 34.7700394452014),Pulaski,2021,85.9,39.3,32.05,69.35
AR,POINT (-91.027601124923 36.3412861990406),Randolph,2021,81.75,41.25,36.1,70.75
AR,POINT (-92.6765172938046 34.6466455813868),Saline,2021,85.5,36.95,34.25,68.9
AR,POINT (-94.06316918547 34.8608770716874),Scott,2021,81.6,40.150000000000006,36.150000000000006,70.65
AR,POINT (-92.6994901353755 35.9111264752522),Searcy,2021,81.65,42.85,37.85,72.1
AR,POINT (-94.2747115384126 35.1994487114465),Sebastian,2021,82.55000000000001,37.65,34.05,69.1
AR,POINT (-94.2415839878892 33.9971085707583),Sevier,2021,80.95,38.5,34.15,68.6
AR,POINT (-91.4796648363714 36.1612525766705),Sharp,2021,80.94999999999999,42.3,37.65,71.65
AR,POINT (-90.7484778577097 35.0221692427635),St. Francis,2021,79.4,47.75,34.95,72.65
AR,POINT (-92.1570988831634 35.8596284960808),Stone,2021,81.25,43.6,37.15,72.15
AR,POINT (-92.5973698311478 33.1712847934414),Union,2021,83.8,40.2,34.5,72.25
AR,POINT (-92.5158922653774 35.5806118772188),Van Buren,2021,81.15,41.45,38.15,72.3
AR,POINT (-94.2156793425187 35.9788480792297),Washington,2021,81.65,32.55,31.95,66.05
AR,POINT (-91.7454779964398 35.2560865177608),White,2021,81.30000000000001,39.55,37.2,68.7
AR,POINT (-91.2431471012526 35.1863222444477),Woodruff,2021,81.65,43.8,37.0,73.05
AR,POINT (-93.4103078380225 35.002782920903),Yell,2021,81.5,39.95,35.150000000000006,70.9
AZ,POINT (-109.48881915611 35.3954681672691),Apache,2021,75.9,34.9,31.05,60.349999999999994
AZ,POINT (-109.751384831901 31.8794588523568),Cochise,2021,82.0,33.7,33.35,65.6
AZ,POINT (-111.770577149727 35.8387928971913),Coconino,2021,78.95,25.85,26.75,61.599999999999994
AZ,POINT (-110.812096582079 33.7999645115514),Gila,2021,80.9,32.2,29.7,69.35
AZ,POINT (-109.887402691851 32.9327553402921),Graham,2021,78.85,29.4,31.4,64.1
AZ,POINT (-109.240185682696 33.215200364114),Greenlee,2021,81.3,26.3,28.35,63.05
AZ,POINT (-113.98153747073 33.7292571142703),La Paz,2021,82.3,37.45,34.7,68.7
AZ,POINT (-112.491401814525 33.3490920459607),Maricopa,2021,83.94999999999999,28.3,31.599999999999998,63.25
AZ,POINT (-113.758099268811 35.7044739765542),Mohave,2021,81.65,33.55,32.05,68.9
AZ,POINT (-110.321421073074 35.3997521187229),Navajo,2021,77.4,35.0,31.45,67.1
AZ,POINT (-111.790179841763 32.0975237350697),Pima,2021,82.4,29.65,31.65,66.85
AZ,POINT (-111.344793224721 32.9045145361574),Pinal,2021,82.6,31.0,34.0,66.35
AZ,POINT (-110.846572235272 31.525984062461),Santa Cruz,2021,81.80000000000001,29.15,32.599999999999994,66.9
AZ,POINT (-112.553640853115 34.5996977529402),Yavapai,2021,83.3,31.05,33.7,66.7
AZ,POINT (-113.905997385394 32.7694427722845),Yuma,2021,81.75,31.7,32.75,67.5
CA,POINT (-121.888566503138 37.6463311425304),Alameda,2021,84.35,26.45,31.85,62.95
CA,POINT (-119.820667930537 38.5974751291386),Alpine,2021,85.8,29.950000000000003,32.55,64.35
CA,POINT (-120.650760892534 38.4464297028895),Amador,2021,86.35,30.700000000000003,34.0,64.95
CA,POINT (-121.60115169224 39.6663795928272),Butte,2021,82.80000000000001,29.75,32.05,64.8
CA,POINT (-120.554047814815 38.2047708244318),Calaveras,2021,85.80000000000001,32.7,34.7,65.6
CA,POINT (-122.238126872813 39.1776793679318),Colusa,2021,82.0,29.65,33.15,63.349999999999994
CA,POINT (-121.927326815652 37.9192010440958),Contra Costa,2021,86.44999999999999,26.4,28.95,64.4
CA,POINT (-123.897120966337 41.7431608613822),Del Norte,2021,81.05,32.65,33.95,64.45
CA,POINT (-120.524584137234 38.7786875121222),El Dorado,2021,86.95,28.200000000000003,33.65,64.15
CA,POINT (-119.64899454546 36.7581714404224),Fresno,2021,81.35,31.0,32.0,63.849999999999994
CA,POINT (-122.392432829407 39.5983868407646),Glenn,2021,82.05000000000001,31.1,32.6,64.1
CA,POINT (-123.875674190259 40.6992051844633),Humboldt,2021,81.4,30.7,33.95,65.5
CA,POINT (-115.365089023702 33.0401896009011),Imperial,2021,81.44999999999999,30.1,32.9,63.8
CA,POINT (-117.411112581295 36.5114226868129),Inyo,2021,86.2,29.85,33.2,64.7
CA,POINT (-118.730029086317 35.3428262386385),Kern,2021,81.05000000000001,30.4,32.65,62.05
CA,POINT (-119.815394099578 36.0752380305363),Kings,2021,79.85,29.700000000000003,31.950000000000003,62.05
CA,POINT (-122.753413599125 39.0999886976907),Lake,2021,84.19999999999999,31.75,33.7,65.7
CA,POINT (-120.594352001291 40.6734626858289),Lassen,2021,80.4,30.5,32.1,61.95
CA,POINT (-118.224550062411 34.321384729882),Los Angeles,2021,86.15,27.549999999999997,34.2,62.15
CA,POINT (-119.762622561071 37.2181735184536),Madera,2021,82.55000000000001,29.4,33.0,64.5
CA,POINT (-122.72355494043 38.0735138436081),Marin,2021,89.15,24.85,31.299999999999997,64.45
CA,POINT (-119.905412294091 37.5815463688348),Mariposa,2021,84.44999999999999,33.15,35.05,66.35
CA,POINT (-123.391321827245 39.4403114811983),Mendocino,2021,84.0,31.15,34.4,65.1
CA,POINT (-120.717750083358 37.1917830406782),Merced,2021,79.44999999999999,30.35,32.6,62.349999999999994
CA,POINT (-120.725180763953 41.5897153747434),Modoc,2021,85.25,33.9,35.3,67.4
CA,POINT (-118.887441843869 37.9391655989695),Mono,2021,84.5,27.55,32.099999999999994,62.5
CA,POINT (-121.238518915104 36.2170334850568),Monterey,2021,82.65,28.35,33.0,63.699999999999996
CA,POINT (-122.330692396629 38.5067022702407),Napa,2021,85.30000000000001,28.35,33.25,64.65
CA,POINT (-120.767818372764 39.3015981047531),Nevada,2021,85.7,31.1,34.45,65.55000000000001
CA,POINT (-117.761130979135 33.702790446535),Orange,2021,85.7,26.799999999999997,33.2,63.6
CA,POINT (-120.717993200586 39.0633030825061),Placer,2021,86.55,27.5,31.95,64.45
CA,POINT (-120.838269553404 40.0042609776687),Plumas,2021,86.35,31.75,34.55,66.8
CA,POINT (-115.994764890688 33.7437710409515),Riverside,2021,86.3,27.75,32.4,62.95
CA,POINT (-121.34451940892 38.4486270273732),Sacramento,2021,84.85,28.95,30.1,63.800000000000004
CA,POINT (-121.074673078268 36.605429011687),San Benito,2021,85.35,26.299999999999997,30.799999999999997,61.5
CA,POINT (-116.178441641048 34.8415154042306),San Bernardino,2021,83.75,29.85,32.25,63.15
CA,POINT (-116.735136221495 33.0338956563358),San Diego,2021,86.25,25.0,31.65,62.25
CA,POINT (-122.439681175401 37.7566838021847),San Francisco,2021,86.9,24.65,31.5,63.75
CA,POINT (-121.271085290011 37.9345365020323),San Joaquin,2021,83.1,28.700000000000003,33.35,63.7
CA,POINT (-120.404478346917 35.387112949635),San Luis Obispo,2021,84.7,28.25,31.049999999999997,63.650000000000006
CA,POINT (-122.328756671313 37.4231955433243),San Mateo,2021,86.65,25.85,32.3,64.35
CA,POINT (-120.015341806806 34.6714050399297),Santa Barbara,2021,84.45,26.35,31.2,62.75
CA,POINT (-121.695251446392 37.2316875247769),Santa Clara,2021,86.25,24.15,32.05,63.45
CA,POINT (-122.001404413399 37.0558255524564),Santa Cruz,2021,84.65,28.0,32.0,63.45
CA,POINT (-122.040246599392 40.763787981335),Shasta,2021,85.25,29.4,31.95,65.3
CA,POINT (-120.516466065629 39.5802928882158),Sierra,2021,85.85,32.8,35.1,66.6
CA,POINT (-122.5405492735 41.5927246019871),Siskiyou,2021,85.15,32.75,34.95,65.9
CA,POINT (-121.932781028652 38.2699375647315),Solano,2021,85.2,28.950000000000003,31.15,65.1
CA,POINT (-122.887568125266 38.5287343227086),Sonoma,2021,86.6,27.299999999999997,30.8,62.7
CA,POINT (-120.997769063577 37.5591258572026),Stanislaus,2021,83.55,30.200000000000003,32.35,63.55
CA,POINT (-121.694661656309 39.0344595609474),Sutter,2021,81.80000000000001,30.15,34.5,64.65
CA,POINT (-122.233446855354 40.1257133258826),Tehama,2021,82.4,32.2,34.0,65.65
CA,POINT (-123.11262600912 40.6509037984655),Trinity,2021,83.75,35.2,35.599999999999994,68.1
CA,POINT (-118.800931923116 36.2202887082927),Tulare,2021,80.65,30.65,33.2,63.45
CA,POINT (-119.955704805251 38.0275813878029),Tuolumne,2021,86.65,31.0,33.2,65.19999999999999
CA,POINT (-119.084850170138 34.4542154266373),Ventura,2021,86.15,29.4,32.75,63.199999999999996
CA,POINT (-121.901158583093 38.6865918071174),Yolo,2021,82.05,26.8,31.2,63.25
CA,POINT (-121.35117318039 39.2689845062383),Yuba,2021,82.3,29.450000000000003,31.35,63.099999999999994
CO,POINT (-104.338130186949 39.8735915076236),Adams,2021,79.45,25.15,25.7,59.599999999999994
CO,POINT (-105.78848300659 37.5728638541496),Alamosa,2021,76.1,27.95,29.8,62.6
CO,POINT (-104.339237064517 39.6496572797677),Arapahoe,2021,84.25,26.15,29.8,60.699999999999996
CO,POINT (-107.048213625503 37.1936639220311),Archuleta,2021,84.95,28.65,32.85,65.85
CO,POINT (-102.560198091618 37.3193048719218),Baca,2021,79.69999999999999,32.0,32.6,66.45
CO,POINT (-103.072197677268 37.9549082494337),Bent,2021,77.80000000000001,32.7,31.5,65.15
CO,POINT (-105.357934107429 40.0924397577047),Boulder,2021,83.0,23.700000000000003,27.95,61.9
CO,POINT (-105.052398567169 39.9553900779039),Broomfield,2021,84.85,23.049999999999997,27.0,61.15
CO,POINT (-106.19433436673 38.7474050800517),Chaffee,2021,82.69999999999999,29.65,31.65,66.2
CO,POINT (-102.603247709498 38.8281509160219),Cheyenne,2021,83.4,28.05,31.05,64.95
CO,POINT (-105.644012714121 39.6891749844255),Clear Creek,2021,84.80000000000001,24.700000000000003,29.75,63.65
CO,POINT (-106.191375072993 37.2006625600038),Conejos,2021,80.9,30.0,32.0,64.9
CO,POINT (-105.428087516472 37.278192662225),Costilla,2021,81.35,33.0,33.15,67.35
CO,POINT (-103.783859331121 38.3263545617782),Crowley,2021,76.05000000000001,31.55,30.25,62.5
CO,POINT (-105.367401067627 38.1086576046289),Custer,2021,86.19999999999999,30.6,32.85,67.25
CO,POINT (-107.862948303439 38.8614572647921),Delta,2021,80.65,30.85,34.0,66.9
CO,POINT (-104.876829827118 39.7613507378355),Denver,2021,80.15,24.4,28.7,60.2
CO,POINT (-108.517382189661 37.7520546286538),Dolores,2021,82.9,28.8,30.7,65.15
CO,POINT (-104.929359437339 39.3296457475955),Douglas,2021,86.69999999999999,23.5,29.15,60.3
CO,POINT (-106.695496417597 39.6280227187944),Eagle,2021,81.85,24.35,28.1,61.050000000000004
CO,POINT (-104.525624950703 38.8322231454807),El Paso,2021,82.4,25.1,29.85,62.5
CO,POINT (-104.135022756085 39.2860481189017),Elbert,2021,83.9,26.3,29.400000000000002,63.65
CO,POINT (-105.439539306961 38.4730462936741),Fremont,2021,80.6,29.45,29.299999999999997,64.9
CO,POINT (-107.902832233474 39.5991303693962),Garfield,2021,82.0,26.200000000000003,29.3,61.099999999999994
CO,POINT (-105.522991573347 39.8573476817029),Gilpin,2021,85.1,25.75,29.8,63.550000000000004
CO,POINT (-106.118442353658 40.1030816737949),Grand,2021,83.45,25.65,29.65,63.400000000000006
CO,POINT (-107.03172655628 38.6668662172011),Gunnison,2021,81.85,23.9,27.049999999999997,61.550000000000004
CO,POINT (-107.300359047708 37.82133017176),Hinsdale,2021,86.2,28.6,32.05,65.85
